kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,id,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
10000,Prov. D.K.I. Jakarta,10100,Kab. Kepulauan Seribu,10102,Kec. Kepulauan Seribu Utara,A0389C94-2BF5-E011-AC5A-69531DA3B5CC,20104465,SDN PULAU HARAPAN 02 PAGI,SD,N,Pulau Sabira,-5.2057,106.4605
10000,Prov. D.K.I. Jakarta,10100,Kab. Kepulauan Seribu,10101,Kec. Kepulauan Seribu Selatan,80C29B94-2BF5-E011-AABF-732419A142F3,20104474,SD NEGERI PULAU TIDUNG 02 PG,SD,N,Jl. Lapangan Hijau Rt. 05/03,-5.7965,106.4956
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16002,Kec. Menteng,AA4D27B7-0ECB-4DC1-B1F5-3DAA8050DF5E,20107250,SMAS PSKD MANDIRI,SMA,S,JL. GGSY RATULANGI NO.14,-6.1886,106.8319
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,502E9E94-2BF5-E011-A7F4-BB042C90A8E0,20100504,SDN Petamburan 06 Pagi,SD,N,JL. PETAMBURAN II NO. 34,-6.1933,106.8082
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,20DA331D-25E1-44D5-BAAE-30D84421768C,20100303,SMKS STRADA 1 JAKARTA,SMK,S,JL. GUNUNG SAHARI NO. 88,-6.1691,106.84
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16004,Kec. Johar Baru,B0E88795-2BF5-E011-9743-A5EF93026274,20104799,SD PASKALIS I,SD,S,Jl. Bala Dewa F.16,-6.1772,106.8483
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16007,Kec. Sawah Besar,E03C8A95-2BF5-E011-9973-BF26FCD15301,20104726,SD AT-TAQWA,SD,S,Jl.rajawali Selatan VI No.18,-6.1454,106.8396
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16007,Kec. Sawah Besar,D010A994-2BF5-E011-99CB-7591EB2B7B6E,20104585,SD NEGERI KARTINI 02 PT,SD,N,Jl. Gotong Royong Gg.E,-6.1506,106.8315
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,404CE795-2BF5-E011-B08D-4F51E523BFEB,20100238,SMP Negeri 228,SMP,N,Jl. Sumur Batu Raya No. 6,-6.1609,106.8664
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16005,Kec. Cempaka Putih,207A8895-2BF5-E011-8798-579102E670C9,20104775,SD MELANIA III,SD,S,Jl. Percetakan Negara No. 31,-6.1824,106.8667
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16005,Kec. Cempaka Putih,4093A394-2BF5-E011-B3B0-65D33638052A,20100374,SD NEGERI CEMPAKA PUTIH BARAT 01 PAGI,SD,N,Jl. Cempaka Putih Barat II/G,-6.1753,106.8635
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16002,Kec. Menteng,D06A8695-2BF5-E011-85C9-1368F547183A,20104755,SD KEPODANG,SD,S,Jl. Taman Sunda Kelapa No. 16A,-6.2008,106.8328
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,E0CAA694-2BF5-E011-A1BD-ED7888F3EB26,20104620,SD NEGERI KEMAYORAN 09 PAGI,SD,N,Jl. Kemayoran Tengah,-6.1609,106.8539
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,00298695-2BF5-E011-A551-7D365BCD9B71,20104824,SDS Strada Pejompongan,SD,S,Jl. Petamburan V,-6.1977,106.808
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16003,Kec. Senen,D20DF0D2-5A76-4FC1-B7A5-64D6FDABB1EB,20107254,SMKS FARMASI DITKESAD,SMK,S,"JL. ABDUL RACHAM SALEH, NO.18",-6.1772,106.8377
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,00219E94-2BF5-E011-90CE-FFF027B73314,20104657,SDN Petamburan 05,SD,N,Jl. Petamburan II,-6.1931,106.8082
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16002,Kec. Menteng,602B0896-2BF5-E011-9F79-2D234ABE8127,20106443,SMP Yapermas,SMP,S,Jl. Anyer No. 7,-6.2026,106.8439
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16008,Kec. Gambir,003DAB94-2BF5-E011-B7AE-2F836E4A0F90,20104661,SDN Petojo Selatan 05 Pg.,SD,N,Jl. Petojo Encek XIV / 35,-6.1729,106.8166
